레포지토리,태그,릴리스명,생성일,배포일,생성일(ISO),배포일(ISO),배포년도,배포월,배포일,요일(0-6),주말여부,초안여부,프리릴리스여부,릴리스노트 길이,릴리스노트 존재여부,생성일로부터 배포까지 일수
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.9,@stackflow/plugin-map-initial-activity@1.0.9,7/31/2024,7/31/2024,2024-07-31T10:06:34.000Z,2024-07-31T10:06:53.000Z,2024,7,31,3,false,false,false,1,true,0
daangn/stackflow,@stackflow/plugin-history-sync@1.6.0,@stackflow/plugin-history-sync@1.6.0,7/31/2024,7/31/2024,2024-07-31T10:06:34.000Z,2024-07-31T10:06:50.000Z,2024,7,31,3,false,false,false,203,true,0
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.13,@stackflow/plugin-google-analytics-4@1.1.13,7/31/2024,7/31/2024,2024-07-31T10:06:34.000Z,2024-07-31T10:06:47.000Z,2024,7,31,3,false,false,false,1,true,0
daangn/stackflow,@stackflow/plugin-basic-ui@1.8.3,@stackflow/plugin-basic-ui@1.8.3,7/31/2024,7/31/2024,2024-07-31T10:06:34.000Z,2024-07-31T10:06:44.000Z,2024,7,31,3,false,false,false,1,true,0
daangn/stackflow,@stackflow/link@1.4.3,@stackflow/link@1.4.3,7/31/2024,7/31/2024,2024-07-31T10:06:34.000Z,2024-07-31T10:06:41.000Z,2024,7,31,3,false,false,false,1,true,0
daangn/stackflow,@stackflow/config@1.1.0,@stackflow/config@1.1.0,7/31/2024,7/31/2024,2024-07-31T10:06:34.000Z,2024-07-31T10:06:38.000Z,2024,7,31,3,false,false,false,153,true,0
daangn/stackflow,@stackflow/compat-await-push@1.1.11,@stackflow/compat-await-push@1.1.11,7/31/2024,7/31/2024,2024-07-31T10:06:34.000Z,2024-07-31T10:06:35.000Z,2024,7,31,3,false,false,false,1,true,0
daangn/stackflow,@stackflow/react@1.1.11,@stackflow/react@1.1.11,7/25/2024,7/25/2024,2024-07-25T08:36:39.000Z,2024-07-25T08:37:17.000Z,2024,7,25,4,false,false,false,63,true,0
daangn/stackflow,@stackflow/plugin-stack-depth-change@1.1.4,@stackflow/plugin-stack-depth-change@1.1.4,7/25/2024,7/25/2024,2024-07-25T08:36:39.000Z,2024-07-25T08:37:11.000Z,2024,7,25,4,false,false,false,63,true,0
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.10,@stackflow/plugin-renderer-web@1.1.10,7/25/2024,7/25/2024,2024-07-25T08:36:39.000Z,2024-07-25T08:37:08.000Z,2024,7,25,4,false,false,false,63,true,0
